Word 1      Word 2       Similarity 
phôi_bào  tế_bào        2.4620053616435498   0.13
thuyền  bánh_lái        2.7899966579756255   3.07
nấp  hiện        2.729915970055358   3.27
cất  giấu        3.0540301639109964   4.93
âm  gốc        1.9086287848637675   0.6
đặt  thả_lỏng        1.90111934173692   2.53
chỉnh_hình  tiểu_học        3.2696135048631882   4.87
tẩy  cạn        3.007287141861731   0.33
cây_trồng  đĩa_bay        2.3000476915971837   4.4
chỉnh_hình  luồng        2.150453190730942   0.33
màng_tế_bào  bảng_tổng_sắp        2.363309806931958   0.47
ngót_nghét  xấp_xỉ        2.30903365717697   0.8
biến_động  cố_định        1.9256645102573233   0.67
khuyết_điểm  ưu_điểm        2.7402530594011165   4.27
nhạo_báng  khiếm_nhã        2.5720220010150365   0.2
hại  lợi        2.199817426031022   1.67
bướu_cổ  bệnh_tật        2.592396299905618   4.4
cây_thuốc  cây_hoa_màu        2.868629005471432   4.87
tinh_lọc  tinh_chế        2.2397282125482887   3.27
tăm_dạng  tung_tích        2.444453196608993   1.07
bức_bối  nguỵ_trang        2.1635282058685594   0.87
thân_thể  đầu        2.563077495360486   2.8
thừa_thế  hằn_học        2.3360512505822975   0.53
quỷ_quyệt  xảo_quyệt        2.2339961705596187   0.53
hoang_phí  hà_tiện        1.9763418977055305   1.07
cóp_nhặt  để_dành        2.1554640576074475   0.53
may  rủi        2.5330155388734577   0.4
tum  chân_vịt        2.623481211573343   2.53
nhạo  vèo        3.1140987667118063   0.47
ngoại_lệ  thường_lệ        2.6924881966820786   0.73
phong_độ  phong_thái        2.0160750539357037   0.53
biết_ơn  vô_ơn        2.421028618499529   2.33
buồn_bã  nối_tiếp        2.932913531410586   0.53
quay  chuyển_hướng        2.9383296719226655   5.07
tập_dượt  tập_luyện        2.980608313554905   3.2
oxy_hoá  đổi_thay        2.2877270462008426   0.73
trà  bụi        3.153208998649837   0.33
phỏng  mảnh        2.764287034980873   4.2
phòng_ngủ  công_trình_phụ        2.6406560415309643   3.93
hình_hoạ  cung_bậc        3.149898454338311   2.33
hoạ  phúc        2.3877933912879437   0.67
nửa_mùa  đồng_điệu        2.483295907941673   0.33
thịnh_hành  hữu_tình        3.021325559663575   0.47
biệt_ly  sum_họp        2.418806261638777   2.0
phụ_bản  nếp_tẻ        1.9405792589971944   0.4
lời_lãi  thua_lỗ        2.567403209922972   1.07
con_đường  vỉa_hè        2.034030528529469   0.53
chính_nghĩa  phi_nghĩa        2.7197389185054086   0.67
trần_gian  cõi_âm        2.6795770419458678   0.47
vượng  suy        2.7189247032558663   2.53
lắng_nghe  lắng_tai        2.8438210132756003   3.93
ấp_úng  nói        3.722937793032459   5.87
thất_bại  thành_công        1.9332739311063043   1.93
đa_ngôn  mỏng_tang        2.6295940228960957   0.33
ái_mộ  hâm_mộ        2.007625729014955   0.4
tí_ti  tí_teo        2.1175163844579323   3.4
nỗi_đau  tai_hoạ        2.793678383438742   3.67
dương_gian  cõi_âm        2.3934524454262602   4.4
phân_tử  nếp_tẻ        2.5186631154615697   1.0
định_kỳ  bất_thường        2.1107706775992727   4.6
trước  sau        1.9574100554108158   1.73
đánh_bóng  làm_đẹp        2.7965705086063775   0.53
đoán  quan_sát        2.378056828905991   1.07
đồ_dùng  đồ_vật        2.694858645139939   1.93
giải_tán  tập_hợp        2.499498058241741   2.93
nhóm  liên_kết        3.2178396866363164   0.73
đầu_tiên  cuối_cùng        3.351165273359125   3.93
hảo_hữu  người_thân        2.1062811096252223   0.27
quyển  bìa        2.6465818709607696   0.33
vượt_tuyến  hằn_học        3.1413992923300462   2.33
chiến_bại  thắng_lợi        1.9897924718692805   0.4
bành_tô  khăn        2.5052540462947572   2.47
đỡ_đần  bình_luận        2.090851245071404   3.73
hạ  tăng        2.29706191756107   3.47
tợn  hiền        2.8537587305764505   0.67
bội_bạc  chung_thuỷ        3.3401300882760294   5.33
nhà_máy  dây_chuyền        2.6283266526167144   4.67
tàu_hoả  xe_điện_ngầm        2.576473087998501   0.6
thuở  thủa        2.2494998472920242   3.2
tranh  trông_nom        2.690476873390961   3.87
cây_thân_gỗ  cành        2.353582073737987   2.6
xuôi  ngược        2.142123075880166   0.6
biên_nhận  móc        1.8369838794009263   0.4
thi_hành  bắt        2.671333934682006   5.0
cự_tuyệt  bãi_bỏ        2.46640245841411   2.8
thi_đấu  phá_vây        2.4427510375977257   2.2
hiện_trạng  tình_cảnh        2.949269599314103   5.33
vượt_tuyến  dứt_điểm        2.186586182204085   0.27
cá_hồng  cá_chai        2.64077837859394   3.93
bằng  văn_bằng        2.8812967204865485   2.6
tĩnh_dưỡng  lộn_xộn        3.684595490642484   4.67
bạc_đãi  trọng_đãi        2.995149626391202   4.8
phân_li  đoàn_tụ        2.8231162096326607   2.73
nhốt  thả        2.0680515348686477   5.0
nội_tiết  huyệt        2.061956958492946   1.27
phụ_bản  truyện_tranh        2.1721043980191377   0.8
phong_thư  địa_chỉ        2.9116282286973485   0.67
thời_bình  thời_chiến        2.1487710470518975   0.6
áo_quan  quan_tài        2.7819477240045654   3.2
trẩy_hội  ví        2.453743888029125   0.93
nhức_nhối  nhấp_nhỏm        2.436486150482825   5.73
cũ_kỹ  mới_mẻ        2.1782704452962642   3.53
nhạo  hạ_bút        2.5980504021287216   2.6
sân_vận_động  khán_đài        2.678618156935804   3.87
chủ_nghĩa_hình_thức  truyện_tranh        3.548308798561151   5.73
được  mất        2.729194378267554   0.4
hiểu  tiên_lượng        2.764862996864878   5.6
quét_dọn  loại_bỏ        2.12998570403005   0.73
bay_hơi  bay        2.2928500686039945   3.87
dễ_dàng  khó_khăn        2.503805958654434   3.13
gạ  gạ_gẫm        2.3651540693642383   3.13
vắng_tanh  lịch_bịch        2.2240521924010888   4.13
nhậm_chức  nhiệm_chức        2.1119581126167217   1.13
hồ_sơ  bằng_cớ        2.036676441288141   0.8
hổ_thẹn  bắt_buộc        2.21251469377047   2.87
dấu_hiệu  đặc_trưng        3.2847908621717083   0.53
người_dân  tộc_người        3.100507441058933   2.93
bè_cánh  vây_cánh        2.3171251337086605   0.67
bật_lửa  giảm_xóc        2.6094938028405945   0.6
sinh_vật_cảnh  không_trung        2.711262486381616   5.33
chần_chờ  dứt_khoát        3.2817183158737775   2.67
tư_thế  phong_thái        2.216254483317047   0.73
máy_vi_tính  phím        3.143858426012591   2.4
sụp_đổ  kìm_nén        2.309379300898157   0.73
mắc_kẹt  cầm_giữ        2.082903873708191   5.6
hình_hoạ  khí_quyển        2.2018338964166393   3.73
thuộc_địa  kiều_dân        2.9974364558833972   2.8
nhà_hát  sân_khấu        2.2326142270131215   4.73
thìa  muỗng        2.5812786977546502   0.67
tỏ  biểu_lộ        2.2963933017441898   3.07
chiến_tranh  trận_chiến        2.2160469157179983   1.0
cộc  va        2.166153198878244   0.4
tính_sổ  giám_đốc_thẩm        3.1927518266400456   5.4
hơn  thua        2.801389212199049   3.47
cựu_binh  tân_binh        2.9663676167795034   3.67
tính_sổ  nuôi_dưỡng        2.1738596570926796   1.07
ngữ_cảnh  văn_cảnh        2.830833477123937   5.53
hâm_nóng  cải_biến        2.3869104149988503   0.67
bón  tẩm        2.056105413517203   0.27
thảm  thê_thảm        2.6151093352901995   5.53
lắp_đặt  nhồi_nhét        2.634883136526397   0.47
tạo_hoá  tạo_vật        2.1828300667295193   0.87
hen  cúm        2.025182094287511   2.47
mệt_mỏi  mỏi_mệt        2.0071237916272917   0.47
tắc_nghẽn  thông_suốt        2.201818188676654   2.47
trọng  coi_trọng        2.210085336463452   0.27
đẽo  bắt        2.33142988391291   3.47
len_lách  len_lỏi        3.4566426428216612   4.47
hú  ca        3.375386546058878   5.47
danh_sách  mục        3.0154912049126787   2.67
chuyển_nhượng  phát_mại        2.428167005728133   2.2
vòng_tay  trang_sức        1.972820950467681   1.73
đổ_bê_tông  chăm_sóc        3.092329249625231   5.13
kín  phát        2.6783873104287097   5.27
người_tình  chiến_sĩ        2.242432657041443   0.6
cuối  đầu        2.750387945328358   5.73
cần_tây  đậu_bắp        2.607942764280974   2.8
định_kì  bất_thường        2.6916409394308602   0.47
thiện_chí  ác_ý        2.138811623797409   5.2
biên_cương  biên_giới        2.397259472648881   2.67
sông  cửa_sông        2.8755033336009257   2.6
tím  bẹp        2.8426013080232   4.07
năm_âm_lịch  tháng_âm_lịch        3.2151920216729395   4.47
đỡ_đần  suy_xét        2.6497951352468543   4.27
bầm  mệ        2.222438813838197   2.6
dáng  tản_bộ        2.807516673283806   0.67
sinh_vật  tế_bào        2.778887558699351   3.47
giở_quẻ  giở_chứng        3.546736018514137   5.53
nhau  rau        2.1887414982121154   0.47
đồng_tình  phản_đối        3.0611416894549386   4.2
thanh  dụng_cụ        2.1669773854587087   1.0
điệu  háo        2.2771071358044517   1.6
tử_trận  tiếp_sức        2.3186704152114475   0.53
trù_dập  trù_úm        2.303453683487975   1.4
tứ_kết  trận_đấu        2.6793376613896815   5.0
tình_ca  ca_khúc        2.9018608970168893   2.87
báo_ân  trả_thù        2.3101742325405503   2.13
vững_tâm  vững_lòng        3.0569338565433664   5.07
cũ_rích  mới_mẻ        2.398407534807893   4.2
lành  kẹt        2.4009270156640063   1.93
tù  ngục        2.06249554693031   1.33
chủ_nghĩa_hình_thức  đức_tính        2.8811510647211973   3.47
dày_cộp  mỏng_tang        3.1669158062639737   5.67
cây_trồng  thầy_thuốc_nhân_dân        2.6300760901968476   5.27
điều_hành  lục_lọi        2.262048158420817   1.53
dáng_bộ  dáng_điệu        2.678297135558055   2.67
tự_do  phần_cứng        2.5988528449243518   0.53
thu_ngân  dân_cư        2.500952181098241   0.67
cắt  tẩm        1.7658155831740339   1.8
nghị_quyết  tài_liệu        2.015980520919395   0.8
ăn_nhậu  nhậu_nhẹt        3.6359784535186757   5.93
gắn_kết  liên_kết        2.300854192682669   0.8
máy_tính  bộ_vi_xử_lý        2.3982868824556722   4.07
cải_thiện  thuần_hoá        2.296154510865148   5.13
năng_lực  tột_độ        2.380035141904105   2.4
an_dưỡng  tĩnh_dưỡng        2.648915687083817   3.4
di_chuyển  dời        1.9983778117392603   2.6
ngoài  trong        2.0105466737427453   1.07
cặp  đôi        1.9767723949557006   0.33
cẳng  bắp_chân        2.665932158466963   4.13
chiến_tranh  hoà_bình        2.3599003637725904   1.6
đau_đớn  làm_phiền        2.5162291785783335   0.13
gia_tăng  lạm_phát        2.127250033441949   0.8
thói  thái_độ        2.814811172687361   3.0
mô_hình  cấu_trúc        3.1819361438152867   0.53
mạo_danh  lừa_đảo        2.2670699680779105   2.07
sếp  lãnh_đạo        2.5043606510040597   1.4
thẻ  kỉ_vật        2.924309691104025   2.6
hỏi  đáp        1.8278379034938945   0.07
tản_bộ  di_chuyển        2.2871859819686975   0.6
chuệch_choạc  chệch_choạc        3.811458061372765   5.4
dương_gian  âm_phủ        2.715219297918755   0.2
giải_thích  ngấm        3.2650130944762967   0.2
mách  mách_nước        3.394088041104821   0.33
nước_lớn  xuất_xứ        2.358438002663142   2.73
số_hoá  hoá_lỏng        2.745007502368898   3.93
dận  nhấn        2.3285728089260314   0.27
hơi_hướng  hơi_hám        3.308397692231691   4.87
cắt_giảm  trừ_khử        2.874493949891312   2.4
nhạc_nhẹ  cung_bậc        2.1742679480717424   2.6
túm_tụm  quần_tụ        2.6820739060531236   0.33
giở_mặt  lật_lọng        2.589233184392013   0.53
thị_giác  võng_mạc        2.0770947804515973   0.2
người_làm  dân_chơi        2.4124472418820506   3.27
phân_chia  phân_bổ        2.487534070425731   3.8
xâm_nhập  xuyên        3.0303330776099697   5.53
thuộc_hạ  người_lớn        2.819032115627161   0.87
dịch_chuyển  tham_gia        2.399893205647465   3.53
bơi  ngụp        3.3484318693174004   0.33
cư_dân  người_dân        2.4612314974195444   0.27
khoan_thai  ung_dung        2.36714416224813   3.93
xe_tải  nóc        2.2739356507747175   0.53
mùa_đông  đông_chí        2.3691803044204316   2.4
lạc_hậu  tiên_tiến        2.953423635313092   5.4
chọc_ghẹo  biếu_xén        2.1134276602697577   1.0
nền  cận_cảnh        2.941534003464898   5.07
sư_tử  lăng_kính        2.988893068855601   4.4
bẫy  cạm        2.548751712769788   3.67
nhảy_múa  nhẩy_múa        2.3409884149262083   1.33
minh_oan  phá_vây        2.270015837323081   2.2
nguyên_nhân  nguyên_do        2.225878170917998   3.2
dữ  hiền        3.410454036096348   5.53
Pearson: (0.4468477986391988, 2.7432767587471332e-18)
Spearman: SpearmanrResult(correlation=0.4077568887734169, pvalue=3.2645624595200806e-15)
